3|2023-05-03T20:05:08.2758581|255.11618|AUD
3|2023-05-03T20:05:10.9341433|178.89056|AUD
3|2023-05-03T20:05:12.6254614|246.87381|AUD
3|2023-05-03T20:05:14.2342709|48.76915|AUD
3|2023-05-03T20:05:16.1681182|205.34756|AUD
3|2023-05-03T20:05:18.4568555|310.21698|AUD
3|2023-05-03T20:05:20.153663|-8.949289|AUD
3|2023-05-03T20:05:22.2436746|-120.99427|AUD
3|2023-05-03T20:05:24.1466183|-170.03004|AUD
3|2023-05-03T20:05:25.2509275|-109.94111|AUD
3|2023-05-03T20:05:27.8704303|-329.86478|AUD
3|2023-05-03T20:05:30.4369384|-1.3749422|AUD
3|2023-05-03T20:05:33.0868727|-73.17965|AUD
3|2023-05-03T20:05:35.060537|-0.5706286|AUD
3|2023-05-03T20:05:36.2183746|-17.54738|AUD
1|2023-05-03T20:05:54.4148074|2479.5427|CZK
1|2023-05-03T20:05:56.4413811|2216.3718|CZK
1|2023-05-03T20:06:00.7908971|-577.54333|CZK
1|2023-05-03T20:06:03.0659175|-911.0285|CZK
1|2023-05-03T20:06:05.2775959|-39.569103|CZK
1|2023-05-03T20:06:06.7786389|-44.196053|CZK
1|2023-05-03T20:06:11.0495615|-0.6884566|CZK
1|2023-05-03T20:06:13.7709139|-1531.2864|CZK
123456789|2023-05-04T06:58:03.8334119|100.0|CZK
123456789|2023-05-04T06:58:08.8094142|200.0|USD
123456789|2023-05-04T06:58:08.8104135|10000.0|USD
123456789|2023-05-04T06:58:08.8104135|1.0|USD
123456789|2023-05-04T06:58:08.8114065|4000000.0|USD
123456789|2023-05-04T06:58:08.8114065|0.04|USD
123456789|2023-05-04T06:58:08.8414075|-500.0|EUR
123456789|2023-05-04T06:58:08.8424089|-10.0|USD
123456789|2023-05-04T06:58:08.8424089|-1.0|USD
123456789|2023-05-04T06:58:08.8434083|-0.04|USD
testAdd|2023-05-04T06:58:09.7014046|21.1|CZK
